MovieID,MovieName,Vector
1,Toy Story,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7195796460176991, 0.3280610249105808, 0.7749140893470791]"
2,GoldenEye,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.5515267175572519, 0.3417082574020517, 0.22336769759450173]"
3,Four Rooms,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.5083333333333333, 0.4287753661379598, 0.15292096219931273]"
4,Get Shorty,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6375598086124402, 0.3412034062638886, 0.35738831615120276]"
5,Copycat,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.5755813953488372, 0.3346190434520517, 0.14604810996563575]"
6,Shanghai Triad (Yao a yao yao dao waipo qiao),"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6442307692307693, 0.460142118514236, 0.0429553264604811]"
7,Twelve Monkeys,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.6996173469387755, 0.34720250363017674, 0.6718213058419243]"
8,Babe,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7488584474885844, 0.35435967075234137, 0.3745704467353952]"
9,Dead Man Walking,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7240802675585284, 0.3685325705109021, 0.5120274914089347]"
10,Richard III,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.7078651685393258, 0.35848463838086025, 0.15120274914089346]"
11,Seven (Se7en),"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.711864406779661, 0.3779201723770588, 0.40378006872852235]"
12,"Usual Suspects, The","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.8464419475655431, 0.29185844558115354, 0.4570446735395189]"
13,Mighty Aphrodite,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6046195652173914, 0.36475268018229334, 0.31443298969072164]"
14,"Postino, Il","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.7418032786885246, 0.35336226341978205, 0.3127147766323024]"
15,Mr. Holland's Opus,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6945392491467577, 0.346570900439932, 0.5017182130584192]"
16,French Twist (Gazon maudit),"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5512820512820513, 0.364362160597905, 0.06529209621993128]"
17,From Dusk Till Dawn,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 0.529891304347826, 0.4155044309689147, 0.1563573883161512]"
18,"White Balloon, The","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.44999999999999996, 0.4654746681256313, 0.015463917525773196]"
19,Antonia's Line,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7391304347826086, 0.3759047057780561, 0.11683848797250859]"
20,Angels and Insects,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.6041666666666666, 0.4350408755281296, 0.12199312714776633]"
21,Muppet Treasure Island,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0.0, 0.44047619047619047, 0.37068419164686583, 0.14261168384879724]"
22,Braveheart,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.7878787878787878, 0.3402737732859244, 0.5085910652920962]"
23,Taxi Driver,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.7802197802197801, 0.30117250079524516, 0.31099656357388317]"
24,Rumble in the Bronx,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6120689655172413, 0.353588624375871, 0.2972508591065292]"
25,"Birdcage, The","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6109215017064846, 0.36564871226973494, 0.5017182130584192]"
26,"Brothers McMullen, The","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.613013698630137, 0.31754863959458457, 0.12371134020618557]"
27,Bad Boys,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5263157894736842, 0.3877833671647408, 0.09621993127147767]"
28,Apollo 13,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.7327898550724637, 0.2857939729830082, 0.4725085910652921]"
29,Batman Forever,"[0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.41666666666666663, 0.36332616160278736, 0.19415807560137457]"
30,Belle de jour,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7364864864864865, 0.2998372932148407, 0.06185567010309278]"
31,Crimson Tide,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0.0, 0.6574675324675324, 0.31298504501144264, 0.26288659793814434]"
32,Crumb,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6975308641975309, 0.37381500012838925, 0.13745704467353953]"
33,Desperado,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.0, 0.6134020618556701, 0.37507158537814567, 0.16494845360824742]"
34,"Doom Generation, The","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.4285714285714286, 0.4879500364742665, 0.010309278350515462]"
35,Free Willy 2: The Adventure Home,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2954545454545454, 0.4695258730406084, 0.017182130584192438]"
36,Mad Love,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.28846153846153844, 0.3177444546511212, 0.020618556701030927]"
37,Nadja,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.3125, 0.3659625273556999, 0.012027491408934707]"
38,"Net, The","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.0, 0.5020833333333333, 0.3594341764090726, 0.20446735395189003]"
39,Strange Days,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.5660919540229885, 0.3635250947598827, 0.14776632302405499]"
40,"To Wong Foo, Thanks for Everything! Julie Newmar","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.4736842105263158, 0.39349742764586115, 0.09621993127147767]"
41,Billy Madison,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5202702702702703, 0.40292660603371644, 0.06185567010309278]"
42,Clerks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7010135135135135, 0.3948193072109961, 0.25257731958762886]"
43,Disclosure,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.5, 0.3100868364730211, 0.06701030927835053]"
44,Dolores Claiborne,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.5854430379746836, 0.35754718152602205, 0.13402061855670103]"
45,Eat Drink Man Woman,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7625, 0.31270562854957096, 0.1357388316151203]"
46,Exotica,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6388888888888888, 0.33011264588676237, 0.044673539518900345]"
47,Ed Wood,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.650375939849624, 0.37924328968729437, 0.2268041237113402]"
48,Hoop Dreams,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7735042735042734, 0.34423486488811494, 0.19931271477663232]"
49,I.Q.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5802469135802469, 0.3153725995441105, 0.13745704467353953]"
50,Star Wars,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0.0, 0.8396226415094339, 0.3116011029470889, 1.0]"
